PROJECT_ID	TYPE	STATUS	???	???	???	OBJECTIVE	START_DATE	END_DATE	SECTOR	SUB_SECTOR	???	???
BRA/98/004-S009	Cooperação Sul-Sul	Concluído	Legislación de los Recursos Hídricos.	Agência Nacional de Águas - ANA - ANA	Legislación de los Recursos Hídricos.				 Meio Ambiente	 Recursos Hídricos	Agência Nacional de Águas - ANA - ANA	BRA/98/004-S009 - Legislación de los Recursos Hídricos.
BRA/98/004-S019	Cooperação Sul-Sul	Concluído	Projeto Gestão dos Recursos Hídricos em Cabo Verde.	Secretaria de Recursos Hídricos - MMA/SRH	Projeto Gestão dos Recursos Hídricos em Cabo Verde.		01/07/1999	30/12/2002	 Meio Ambiente	 Recursos Hídricos	Secretaria de Recursos Hídricos - MMA/SRH	BRA/98/004-S019 - Projeto Gestão dos Recursos Hídricos em Cabo Verde.
BRA/98/004-S031	Cooperação Sul-Sul	Concluído	Centro Regional de Excelência em Desenvolvimento Empresarial	Brasil - BRA || Serviço Brasileiro de Apoio às Micro e Pequenas Empresas - SEBRAE/DN	Centro Regional de Excelência em Desenvolvimento Empresarial		01/07/2000	01/12/2003	 Indústria e Comércio	 Apoio a mini, pequena e média Empresa	Brasil - BRA || Serviço Brasileiro de Apoio às Micro e Pequenas Empresas - SEBRAE/DN	BRA/98/004-S031 - Centro Regional de Excelência em Desenvolvimento Empresarial
BRA/98/004-S030	Cooperação Sul-Sul	Concluído	Centro Regional de Excelência em Administração Pública	Brasil - BRA	Centro Regional de Excelência em Administração Pública		10/07/2000	10/12/2003	 Administração Pública	 Políticas Públicas	Brasil - BRA	BRA/98/004-S030 - Centro Regional de Excelência em Administração Pública
BRA/98/004-S001	Cooperação Sul-Sul	Concluído	Projeto de Formação de Professores e alunos com Recurso da Educação à Distância em Timor -Leste -Telecurso	Fundação Roberto Marinho (Brasil) - FRM	Projeto de Formação de Professores e alunos com Recurso da Educação à Distância em Timor -Leste -Telecurso		01/08/2000	30/07/2002	 Educação	 Educação à Distância	Fundação Roberto Marinho (Brasil) - FRM	BRA/98/004-S001 - Projeto de Formação de Professores e alunos com Recurso da Educação à Distância em Timor -Leste -Telecurso
BRA/98/004-S002	Cooperação Sul-Sul	Concluído	Desenvolvimento Empresarial, Formação Profissional e Promoção Social em Timor-Leste - Primeira Fase.	Serviço Nacional de aprendizagem Industrial (Brasil) - SENAI	Desenvolvimento Empresarial, Formação Profissional e Promoção Social em Timor-Leste - Primeira Fase.		01/10/2000	31/12/2002	 Educação	 Políticas Públicas	Serviço Nacional de aprendizagem Industrial (Brasil) - SENAI	BRA/98/004-S002 - Desenvolvimento Empresarial, Formação Profissional e Promoção Social em Timor-Leste - Primeira Fase.
BRA/98/004-S026	Cooperação Sul-Sul	Concluído	Cultivo de Caucho en Colombia: Viabilidad Productiva - Financeira	Comissão Executiva do Plano da Lavoura Cacaueira - CEPLAC	Cultivo de Caucho en Colombia: Viabilidad Productiva - Financeira		01/01/2001	30/12/2003	 Agricultura	 Agroindustria	Comissão Executiva do Plano da Lavoura Cacaueira - CEPLAC	BRA/98/004-S026 - Cultivo de Caucho en Colombia: Viabilidad Productiva - Financeira
BRA/98/004-S018	Cooperação Sul-Sul	Concluído	Programa de Modernización del Sector Dendroenergético de Nicarágua.	Federação das Associações de Recuperação Florestal do Estado de São Paulo - FARESP || Universidade Federal de Viçosa/Sociedade de Investigações Florestais - UFV/SIF	Programa de Modernización del Sector Dendroenergético de Nicarágua.		01/02/2001	30/04/2002	 Indústria e Comércio	 Bens de Consumo	Federação das Associações de Recuperação Florestal do Estado de São Paulo - FARESP || Universidade Federal de Viçosa/Sociedade de Investigações Florestais - UFV/SIF	BRA/98/004-S018 - Programa de Modernización del Sector Dendroenergético de Nicarágua.
BRA/98/004-S003	Cooperação Sul-Sul	Concluído	Expansão Nacional -Alfabetização Comunitária em Timor-Leste.	Associação de Apoio ao Programa Alfabetização Solidária (Brasil) - AAPAS	Expansão Nacional -Alfabetização Comunitária em Timor-Leste.		01/04/2001	01/04/2003	 Educação	 Alfabetização	Associação de Apoio ao Programa Alfabetização Solidária (Brasil) - AAPAS	BRA/98/004-S003 - Expansão Nacional -Alfabetização Comunitária em Timor-Leste.
BRA/98/004-S020	Cooperação Sul-Sul	Concluído	Projeto Bolsa-Escola em Moçambique.	Missão Criança - MISSÃO CRIANÇA	Projeto Bolsa-Escola em Moçambique.		20/04/2001	20/06/2003	 Educação	 Políticas Públicas	Missão Criança - MISSÃO CRIANÇA	BRA/98/004-S020 - Projeto Bolsa-Escola em Moçambique.
BRA/98/004-S024	Cooperação Sul-Sul	Concluído	"""Alfabetização Solidária em São Tomé e Príncipe"""	Associação de Apoio ao Programa Alfabetização Solidária (Brasil) - AAPAS	"""Alfabetização Solidária em São Tomé e Príncipe"""		01/07/2001	16/06/2004	 Educação	 Alfabetização	Associação de Apoio ao Programa Alfabetização Solidária (Brasil) - AAPAS	"BRA/98/004-S024 - ""Alfabetização Solidária em São Tomé e Príncipe"""
BRA/98/004-S021	Cooperação Sul-Sul	Concluído	"""Programa Alfabetização Solidária em Moçambique"""	Associação de Apoio ao Programa Alfabetização Solidária (Brasil) - AAPAS	"""Programa Alfabetização Solidária em Moçambique"""		02/07/2001	31/12/2003	 Educação	 Alfabetização	Associação de Apoio ao Programa Alfabetização Solidária (Brasil) - AAPAS	"BRA/98/004-S021 - ""Programa Alfabetização Solidária em Moçambique"""
BRA/98/004-S023	Cooperação Sul-Sul	Concluído	Projeto Bolsa-Escola em São Tomé e Príncipe.	Missão Criança - MISSÃO CRIANÇA	Projeto Bolsa-Escola em São Tomé e Príncipe.		10/07/2001	10/07/2002	 Educação	 Políticas Públicas	Missão Criança - MISSÃO CRIANÇA	BRA/98/004-S023 - Projeto Bolsa-Escola em São Tomé e Príncipe.
BRA/98/004-S033	Cooperação Sul-Sul	Concluído	Implementacion de la actividad citricola en el municipio de Puerto LLeras, departamento del meta.	Empresa Brasileira de Pesquisa Agropecuária - EMBRAPA || Universidade Estadual do Sudoeste da Bahia - UESB	Implementacion de la actividad citricola en el municipio de Puerto LLeras, departamento del meta.		25/07/2001	25/07/2002	 Agricultura	 Políticas Públicas	Empresa Brasileira de Pesquisa Agropecuária - EMBRAPA || Universidade Estadual do Sudoeste da Bahia - UESB	BRA/98/004-S033 - Implementacion de la actividad citricola en el municipio de Puerto LLeras, departamento del meta.
BRA/98/004-S022	Cooperação Sul-Sul	Concluído	Transferências de Tecnologias de produção e de aproveitamento de subprodutos do cacau en São Tomé e Príncipe.	Comissão Executiva do Plano da Lavoura Cacaueira - CEPLAC	Transferências de Tecnologias de produção e de aproveitamento de subprodutos do cacau en São Tomé e Príncipe.		01/09/2001	31/12/2003	 Agricultura	 Políticas Públicas	Comissão Executiva do Plano da Lavoura Cacaueira - CEPLAC	BRA/98/004-S022 - Transferências de Tecnologias de produção e de aproveitamento de subprodutos do cacau en São Tomé e Príncipe.
BRA/98/004-S028	Cooperação Sul-Sul	Concluído	Cooperación Amazónica para Construcción de Capacidades Locales	Núcleo de Ação para o Desenvolvimento Sustentável - POEMA	Cooperación Amazónica para Construcción de Capacidades Locales		01/10/2001	01/10/2003	 Meio Ambiente	 Recursos Naturais	Núcleo de Ação para o Desenvolvimento Sustentável - POEMA	BRA/98/004-S028 - Cooperación Amazónica para Construcción de Capacidades Locales
