jornal	pagina	data	url	pdf_name	txt_name
2	24	2000-09-14	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=2&pagina=24&data=14/09/2000&captchafield=firistAccess	INPDFViewer?jornal=2&pagina=24&data=14%2F09%2F2000&captchafield=firistAccess.pdf	INPDFViewer?jornal=2&pagina=24&data=14%2F09%2F2000&captchafield=firistAccess.txt
3	37	2000-08-02	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=3&pagina=37&data=02/08/2000&captchafield=firistAccess	INPDFViewer?jornal=3&pagina=37&data=02%2F08%2F2000&captchafield=firistAccess.pdf	INPDFViewer?jornal=3&pagina=37&data=02%2F08%2F2000&captchafield=firistAccess.txt
3	49	2000-07-20	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=3&pagina=49&data=20/07/2000&captchafield=firistAccess	INPDFViewer?jornal=3&pagina=49&data=20%2F07%2F2000&captchafield=firistAccess.pdf	INPDFViewer?jornal=3&pagina=49&data=20%2F07%2F2000&captchafield=firistAccess.txt
3	49	2000-09-20	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=3&pagina=49&data=20/09/2000&captchafield=firistAccess	INPDFViewer?jornal=3&pagina=49&data=20%2F09%2F2000&captchafield=firistAccess.pdf	INPDFViewer?jornal=3&pagina=49&data=20%2F09%2F2000&captchafield=firistAccess.txt
3	55	2000-08-22	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=3&pagina=55&data=22/08/2000&captchafield=firistAccess	INPDFViewer?jornal=3&pagina=55&data=22%2F08%2F2000&captchafield=firistAccess.pdf	INPDFViewer?jornal=3&pagina=55&data=22%2F08%2F2000&captchafield=firistAccess.txt
3	59	2000-10-10	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=3&pagina=59&data=10/10/2000&captchafield=firistAccess	INPDFViewer?jornal=3&pagina=59&data=10%2F10%2F2000&captchafield=firistAccess.pdf	INPDFViewer?jornal=3&pagina=59&data=10%2F10%2F2000&captchafield=firistAccess.txt
3	67	2000-08-31	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=3&pagina=67&data=31/08/2000&captchafield=firistAccess	INPDFViewer?jornal=3&pagina=67&data=31%2F08%2F2000&captchafield=firistAccess.pdf	INPDFViewer?jornal=3&pagina=67&data=31%2F08%2F2000&captchafield=firistAccess.txt
3	68	2000-07-14	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=3&pagina=68&data=14/07/2000&captchafield=firistAccess	INPDFViewer?jornal=3&pagina=68&data=14%2F07%2F2000&captchafield=firistAccess.pdf	INPDFViewer?jornal=3&pagina=68&data=14%2F07%2F2000&captchafield=firistAccess.txt
3	68	2000-07-26	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=3&pagina=68&data=26/07/2000&captchafield=firistAccess	INPDFViewer?jornal=3&pagina=68&data=26%2F07%2F2000&captchafield=firistAccess.pdf	INPDFViewer?jornal=3&pagina=68&data=26%2F07%2F2000&captchafield=firistAccess.txt
3	69	2000-10-16	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=3&pagina=69&data=16/10/2000&captchafield=firistAccess	INPDFViewer?jornal=3&pagina=69&data=16%2F10%2F2000&captchafield=firistAccess.pdf	INPDFViewer?jornal=3&pagina=69&data=16%2F10%2F2000&captchafield=firistAccess.txt
